date,newcases,death,vaccines,hospital,recovered,pcrtest 
3/6/2020,1,0,0,1,0,1
3/7/2020,2,0,0,2,0,3
3/8/2020,2,0,0,5,0,5
3/9/2020,2,0,0,5,0,7
3/10/2020,0,0,0,7,0,7
3/11/2020,3,0,0,7,0,10
3/12/2020,11,0,0,8,0,21
3/13/2020,11,0,0,11,0,32
3/14/2020,12,0,0,14,0,44
3/15/2020,17,0,0,21,0,61
3/16/2020,11,0,0,26,0,72
3/17/2020,24,0,0,25,0,96
3/18/2020,8,0,0,26,0,104
3/19/2020,19,0,0,26,0,123
3/20/2020,14,0,0,27,0,137
3/21/2020,41,0,0,29,0,178
3/22/2020,7,0,0,36,0,185
3/23/2020,19,0,0,31,0,204
3/24/2020,12,0,0,28,0,216
3/25/2020,10,0,0,27,0,226
3/26/2020,43,0,0,26,0,269
3/27/2020,23,0,0,33,0,292
3/28/2020,22,0,0,34,0,314
3/29/2020,22,0,0,35,0,336
3/30/2020,27,1,0,33,0,363
3/31/2020,37,1,0,31,0,400
4/1/2020,26,1,0,34,0,426
4/2/2020,24,1,0,39,0,450
4/3/2020,21,1,0,35,0,471
4/4/2020,14,1,0,38,0,485
4/5/2020,49,2,0,37,0,534
4/6/2020,47,2,0,38,0,581
4/7/2020,101,2,0,43,0,682
4/8/2020,19,2,0,43,0,701
4/9/2020,14,2,0,44,0,715
4/10/2020,13,2,0,47,0,728
4/11/2020,14,2,0,50,0,742
4/12/2020,27,2,0,52,0,769
4/13/2020,66,2,0,58,0,835
4/14/2020,28,6,0,60,0,863
4/15/2020,114,8,0,62,0,977
4/16/2020,72,9,0,65,0,1049
4/17/2020,40,11,0,65,0,1089
4/18/2020,72,12,0,65,0,1161
4/19/2020,12,13,0,67,0,1173
4/20/2020,26,14,0,60,0,1199
4/21/2020,45,14,0,58,0,1244
4/22/2020,81,15,0,55,0,1325
4/23/2020,35,17,0,60,0,1360
4/24/2020,13,17,0,54,0,1373
4/25/2020,6,18,0,51,0,1379
4/26/2020,2,18,0,52,0,1381
4/27/2020,3,20,0,50,0,1384
4/28/2020,7,21,0,43,0,1391
4/29/2020,5,23,0,42,0,1396
4/30/2020,7,23,0,51,0,1403
5/1/2020,4,24,0,43,0,1407
5/2/2020,1,24,0,41,0,1408
5/3/2020,5,25,0,42,0,1413
5/4/2020,8,25,0,38,0,1421
5/5/2020,8,25,0,35,0,1429
5/6/2020,16,26,0,34,0,1445
5/7/2020,10,26,0,29,0,1455
5/8/2020,0,26,0,22,0,1455
5/9/2020,2,26,0,22,0,1457
5/10/2020,0,26,0,20,0,1457
5/11/2020,8,27,0,20,0,1465
5/12/2020,4,27,0,18,0,1469
5/13/2020,8,27,0,20,0,1477
5/14/2020,3,27,0,21,0,1480
5/15/2020,13,28,0,21,0,1493
5/16/2020,1,28,0,19,0,1494
5/17/2020,1,28,0,18,0,1495
5/18/2020,0,28,0,18,0,1495
5/19/2020,1,28,0,15,0,1496
5/20/2020,6,28,0,14,0,1502
5/21/2020,1,28,0,12,0,1503
5/22/2020,1,28,0,9,0,1504
5/23/2020,5,28,0,9,0,1509
5/24/2020,2,28,0,9,0,1511
5/25/2020,2,28,0,10,0,1513
5/26/2020,2,28,0,7,0,1515
5/27/2020,5,28,0,6,0,1520
5/28/2020,0,28,0,6,0,1520
5/29/2020,1,28,0,5,0,1521
5/30/2020,0,28,0,5,0,1521
5/31/2020,1,28,0,4,0,1522
6/1/2020,0,28,0,4,0,1522
6/2/2020,3,28,0,3,0,1525
6/3/2020,1,28,0,3,0,1526
6/4/2020,0,28,0,2,0,1526
6/5/2020,2,28,0,3,0,1528
6/6/2020,0,28,0,3,0,1528
