date,newcases,death,vaccines,hospital,recovered,pcrtest 
3/6/2020,4,0,0,0,0,0
3/7/2020,5,0,0,0,0,0
3/8/2020,7,0,0,0,0,0
3/9/2020,9,0,0,0,0,0
3/10/2020,12,0,0,0,0,0
3/11/2020,13,0,0,0,0,0
3/12/2020,15,0,0,0,1,0
3/13/2020,18,0,0,0,1,0
3/14/2020,24,1,2,0,1,0
3/15/2020,30,1,2,0,1,0
3/16/2020,37,1,3,0,1,0
3/17/2020,47,1,47,0,2,0
3/18/2020,55,1,3,0,2,0
3/19/2020,70,1,3,0,2,0
3/20/2020,74,1,3,0,7,0
3/21/2020,92,3,92,0,7,0
3/22/2020,109,4,113,0,16,0
3/23/2020,138,6,3,0,21,0
3/24/2020,157,7,158,0,21,0
3/25/2020,195,9,3,0,21,0
3/26/2020,223,10,223,0,28,0
3/27/2020,256,10,256,0,34,0
3/28/2020,298,10,3,0,34,0
3/29/2020,361,11,3,0,34,0
3/30/2020,398,13,3,0,34,0
3/31/2020,439,15,439,0,37,0
4/1/2020,465,16,465,0,40,0
4/2/2020,522,20,522,0,42,0
4/3/2020,554,21,554,0,43,0
4/4/2020,588,26,588,0,58,0
4/5/2020,633,32,633,0,66,0
4/6/2020,639,34,639,0,67,0
4/7/2020,699,38,699,0,71,0
4/8/2020,743,47,743,0,94,0
4/9/2020,818,58,818,0,96,0
4/10/2020,1001,66,1001,0,112,0
4/11/2020,1110,77,1110,0,115,0
4/12/2020,1193,85,1193,0,118,0
4/13/2020,1229,99,1229,0,120,0
4/14/2020,1268,109,1268,847,122,0
4/15/2020,1253,122,1253,829,192,0
4/16/2020,1311,134,729,784,199,0
4/17/2020,1400,142,847,811,207,0
4/18/2020,1431,156,829,842,231,0
4/19/2020,1477,172,784,825,250,0
4/20/2020,1518,189,811,850,267,0
4/21/2020,1598,199,842,877,287,0
4/22/2020,1648,213,825,899,295,0
4/23/2020,1655,225,850,927,390,0
4/24/2020,1732,239,877,931,401,0
4/25/2020,1723,262,3,976,458,0
4/26/2020,1743,262,927,983,485,0
4/27/2020,1805,272,931,998,498,0
4/28/2020,1842,280,976,983,516,0
4/29/2020,1891,291,983,1008,536,0
4/30/2020,1882,300,998,1005,581,0
5/1/2020,1931,312,983,1027,609,0
5/2/2020,1982,323,1008,982,625,0
5/3/2020,2029,335,1005,964,629,0
5/4/2020,2054,340,1027,968,630,0
5/5/2020,1993,351,982,891,709,0
5/6/2020,1979,363,964,873,759,0
5/7/2020,1966,373,968,812,801,0
5/8/2020,1921,383,891,782,865,0
5/9/2020,1904,392,873,746,904,0
5/10/2020,1917,405,812,688,933,0
5/11/2020,1905,413,782,658,958,0
5/12/2020,1881,421,746,614,1007,0
5/13/2020,1809,425,688,570,1102,0
5/14/2020,1775,430,658,562,1169,0
5/15/2020,1688,436,614,568,1287,0
5/16/2020,1654,442,570,533,1371,0
5/17/2020,1662,448,562,539,1396,0
5/18/2020,1673,451,568,510,1400,0
5/19/2020,1677,462,3,483,1412,0
5/20/2020,1674,467,539,462,1454,0
5/21/2020,1659,470,510,442,1509,0
5/22/2020,1615,473,483,430,1587,0
5/23/2020,1576,476,462,436,1655,0
5/24/2020,1565,482,442,430,1690,0
5/25/2020,1554,486,3,404,1711,0
5/26/2020,1436,491,436,384,1836,0
5/27/2020,1432,499,430,414,1856,0
5/28/2020,1311,505,404,419,1996,0
